Q,k,l,kappa
0.0028322625976539132,7.000000000000001,36.0,0.0
0.0009149898897475769,7.700000000000001,36.0,0.0
0.0044308080360524445,6.300000000000001,35.0,0.0
0.001620838367466279,5.6000000000000005,35.0,0.0
0.00275032320454219,7.000000000000001,35.0,0.0
0.001310444431207632,7.700000000000001,37.0,0.0
0.0010285656461761045,7.000000000000001,37.0,0.0
0.00033670706730598923,6.300000000000001,37.0,0.0
0.00019455555359034794,8.4,37.0,0.0
0.0015061413989278646,6.300000000000001,36.0,0.0
0.0003434242389553107,5.6000000000000005,36.0,0.0
0.0005682626205225998,7.700000000000001,38.0,0.0
0.00030063636059963274,4.9,35.0,0.0
4.262626219569432e-5,4.2,35.0,0.0
0.005912222162502806,5.6000000000000005,34.0,0.0
0.0017728888709809204,4.9,34.0,0.0
5.436363581450873e-5,5.6000000000000005,37.0,0.0
0.00045370706612417105,8.4,38.0,0.0
0.00029044444151066223,7.000000000000001,38.0,0.0
4.632323185532089e-5,6.300000000000001,38.0,0.0
2.121212099785736e-6,5.6000000000000005,38.0,0.0
4.244444401571269e-5,4.9,36.0,0.0
0.00028784848194092445,7.700000000000001,39.0,0.0
0.0006668585791226406,8.4,39.0,0.0
1.4111110968574637e-5,8.4,36.0,0.0
0.0061420302409895934,6.300000000000001,34.0,0.0
0.0006284747411265178,7.000000000000001,34.0,0.0
0.006995353464693399,4.9,33.0,0.0
0.012139908968283748,5.6000000000000005,33.0,0.0
0.01811910082707979,4.9,32.0,0.0
0.006933030232999695,4.2,32.0,0.0
0.008631767589578105,5.6000000000000005,32.0,0.0
0.02288358562743853,4.2,31.0,0.0
0.0063429393298693,3.5,31.0,0.0
0.03647310064168585,4.2,30.0,0.0
0.02385071693080084,3.5,30.0,0.0
0.004384646420357107,2.8,30.0,0.0
0.020252908886334253,2.8,29.0,0.0
0.013797717032346293,2.0999999999999996,28.0,0.0
0.05818369638198286,2.8,28.0,0.0
0.04215638341256178,3.5,28.0,0.0
0.06776311042663524,2.8,27.0,0.0
0.04660880761001204,2.0999999999999996,27.0,0.0
0.0011832929173404756,1.4,28.0,0.0
0.0025286565401145805,2.0999999999999996,29.0,0.0
0.05198442371732905,3.5,29.0,0.0
0.018198949311121725,4.2,29.0,0.0
0.006051605999478727,3.5,27.0,0.0
0.0795247870755072,2.0999999999999996,26.0,0.0
0.027206090634281914,1.4,26.0,0.0
0.0021440100793534336,0.7,26.0,0.0
0.005278828229506785,4.9,30.0,0.0
0.019904110910059485,4.9,31.0,0.0
0.0006792222153613917,2.8,31.0,0.0
0.002966999970030303,6.300000000000001,33.0,0.0
0.0010568888782132436,3.5,32.0,0.0
0.0011147070594474035,5.6000000000000005,31.0,0.0
