gamma,l,rho,f0
0.758,5.0,0.0,0.01
0.42519999999999997,5.0,0.1,0.01
0.3396,5.0,0.5,0.01
0.4164,5.0,1.0,0.01
0.42,6.0,0.0,0.01
0.7906666666666666,6.0,0.1,0.01
0.6709999999999999,6.0,0.5,0.01
0.5066666666666667,6.0,1.0,0.01
0.37942857142857145,7.0,0.0,0.01
0.44057142857142856,7.0,0.1,0.01
0.9125714285714286,7.0,0.5,0.01
0.40885714285714286,7.0,1.0,0.01
0.445,8.0,0.0,0.01
0.37475,8.0,0.1,0.01
1.476,8.0,0.5,0.01
1.3105,8.0,1.0,0.01
0.2848888888888889,9.0,0.0,0.01
0.5146666666666666,9.0,0.1,0.01
1.0302222222222222,9.0,0.5,0.01
1.296,9.0,1.0,0.01
0.44980000000000003,10.0,0.0,0.01
1.4196,10.0,0.1,0.01
1.4003999999999999,10.0,0.5,0.01
1.6404,10.0,1.0,0.01
0.40800000000000003,11.0,0.0,0.01
1.623090909090909,11.0,0.1,0.01
1.3398181818181818,11.0,0.5,0.01
1.2534545454545454,11.0,1.0,0.01
1.9720000000000002,12.0,0.0,0.01
1.6911666666666667,12.0,0.1,0.01
1.4913333333333334,12.0,0.5,0.01
1.5788333333333335,12.0,1.0,0.01
1.4513846153846153,13.0,0.0,0.01
1.7058461538461538,13.0,0.1,0.01
1.4352307692307693,13.0,0.5,0.01
1.385076923076923,13.0,1.0,0.01
1.5452857142857144,14.0,0.0,0.01
1.7152857142857143,14.0,0.1,0.01
1.5758571428571428,14.0,0.5,0.01
1.2545714285714287,14.0,1.0,0.01
1.4625333333333332,15.0,0.0,0.01
1.4534666666666667,15.0,0.1,0.01
1.3290666666666666,15.0,0.5,0.01
0.9605333333333334,15.0,1.0,0.01
1.00625,16.0,0.0,0.01
1.59925,16.0,0.1,0.01
1.783375,16.0,0.5,0.01
1.72325,16.0,1.0,0.01
1.764,17.0,0.0,0.01
1.5856470588235294,17.0,0.1,0.01
1.6134117647058823,17.0,0.5,0.01
1.7227058823529413,17.0,1.0,0.01
1.4194444444444445,18.0,0.0,0.01
1.4051111111111112,18.0,0.1,0.01
1.3136666666666668,18.0,0.5,0.01
1.7924444444444445,18.0,1.0,0.01
1.6733684210526316,19.0,0.0,0.01
1.4793684210526317,19.0,0.1,0.01
1.3548421052631578,19.0,0.5,0.01
1.7906315789473684,19.0,1.0,0.01
1.309,20.0,0.0,0.01
1.6169,20.0,0.1,0.01
1.1483,20.0,0.5,0.01
1.4731,20.0,1.0,0.01
1.7796190476190477,21.0,0.0,0.01
1.6150476190476188,21.0,0.1,0.01
1.4810476190476192,21.0,0.5,0.01
1.4432380952380952,21.0,1.0,0.01
1.6298181818181818,22.0,0.0,0.01
1.6867272727272726,22.0,0.1,0.01
1.2657272727272728,22.0,0.5,0.01
1.5045454545454546,22.0,1.0,0.01
1.418,23.0,0.0,0.01
1.5194782608695652,23.0,0.1,0.01
1.4814782608695651,23.0,0.5,0.01
1.7268695652173915,23.0,1.0,0.01
1.96725,24.0,0.0,0.01
1.5085,24.0,0.1,0.01
1.4608333333333334,24.0,0.5,0.01
1.569,24.0,1.0,0.01
1.6537600000000001,25.0,0.0,0.01
1.64672,25.0,0.1,0.01
1.44088,25.0,0.5,0.01
1.3603999999999998,25.0,1.0,0.01
1.4001538461538463,26.0,0.0,0.01
1.1758461538461538,26.0,0.1,0.01
1.648153846153846,26.0,0.5,0.01
1.6526153846153848,26.0,1.0,0.01
1.7249629629629628,27.0,0.0,0.01
1.2111851851851851,27.0,0.1,0.01
1.4761481481481482,27.0,0.5,0.01
1.4357037037037037,27.0,1.0,0.01
1.559,28.0,0.0,0.01
1.2842142857142858,28.0,0.1,0.01
1.3130714285714284,28.0,0.5,0.01
1.6885,28.0,1.0,0.01
1.7193103448275862,29.0,0.0,0.01
1.738896551724138,29.0,0.1,0.01
1.5407586206896553,29.0,0.5,0.01
1.724896551724138,29.0,1.0,0.01
1.4601333333333335,30.0,0.0,0.01
1.464,30.0,0.1,0.01
1.2036666666666667,30.0,0.5,0.01
1.2101333333333335,30.0,1.0,0.01
0.45039999999999997,5.0,0.0,0.025
0.45119999999999993,5.0,0.1,0.025
0.40119999999999995,5.0,0.5,0.025
0.4532,5.0,1.0,0.025
0.37799999999999995,6.0,0.0,0.025
0.41933333333333334,6.0,0.1,0.025
0.7160000000000001,6.0,0.5,0.025
0.7456666666666667,6.0,1.0,0.025
0.29228571428571426,7.0,0.0,0.025
0.338,7.0,0.1,0.025
1.461142857142857,7.0,0.5,0.025
0.694,7.0,1.0,0.025
0.30025,8.0,0.0,0.025
0.22475,8.0,0.1,0.025
0.49675,8.0,0.5,0.025
0.50125,8.0,1.0,0.025
0.31066666666666665,9.0,0.0,0.025
0.27244444444444443,9.0,0.1,0.025
0.5448888888888889,9.0,0.5,0.025
0.4895555555555555,9.0,1.0,0.025
0.2434,10.0,0.0,0.025
0.1756,10.0,0.1,0.025
0.40199999999999997,10.0,0.5,0.025
0.2278,10.0,1.0,0.025
0.1912727272727273,11.0,0.0,0.025
0.18945454545454546,11.0,0.1,0.025
0.7165454545454545,11.0,0.5,0.025
0.9620000000000001,11.0,1.0,0.025
0.11083333333333334,12.0,0.0,0.025
0.18233333333333335,12.0,0.1,0.025
1.4426666666666668,12.0,0.5,0.025
1.5036666666666667,12.0,1.0,0.025
0.15661538461538463,13.0,0.0,0.025
0.3098461538461538,13.0,0.1,0.025
1.5935384615384616,13.0,0.5,0.025
1.4129230769230767,13.0,1.0,0.025
1.6674285714285715,14.0,0.0,0.025
0.15885714285714286,14.0,0.1,0.025
1.5765714285714285,14.0,0.5,0.025
1.407142857142857,14.0,1.0,0.025
1.3512,15.0,0.0,0.025
1.2302666666666666,15.0,0.1,0.025
1.552,15.0,0.5,0.025
1.4422666666666666,15.0,1.0,0.025
0.14225,16.0,0.0,0.025
1.2175,16.0,0.1,0.025
1.549,16.0,0.5,0.025
1.633,16.0,1.0,0.025
1.2078823529411764,17.0,0.0,0.025
1.8355294117647059,17.0,0.1,0.025
1.2490588235294118,17.0,0.5,0.025
1.7092941176470589,17.0,1.0,0.025
1.444888888888889,18.0,0.0,0.025
1.2266666666666666,18.0,0.1,0.025
1.6592222222222222,18.0,0.5,0.025
1.2676666666666667,18.0,1.0,0.025
1.575263157894737,19.0,0.0,0.025
1.266315789473684,19.0,0.1,0.025
1.5530526315789472,19.0,0.5,0.025
1.7707368421052632,19.0,1.0,0.025
1.5962,20.0,0.0,0.025
1.5985,20.0,0.1,0.025
1.2814,20.0,0.5,0.025
1.6716000000000002,20.0,1.0,0.025
1.5519047619047621,21.0,0.0,0.025
1.6079047619047617,21.0,0.1,0.025
1.373047619047619,21.0,0.5,0.025
1.136952380952381,21.0,1.0,0.025
1.6368181818181817,22.0,0.0,0.025
1.2426363636363638,22.0,0.1,0.025
1.452090909090909,22.0,0.5,0.025
1.227,22.0,1.0,0.025
1.5139130434782608,23.0,0.0,0.025
1.6522608695652174,23.0,0.1,0.025
1.5743478260869566,23.0,0.5,0.025
1.4260869565217391,23.0,1.0,0.025
1.77775,24.0,0.0,0.025
1.7495833333333335,24.0,0.1,0.025
1.6558333333333335,24.0,0.5,0.025
1.4061666666666666,24.0,1.0,0.025
1.57,25.0,0.0,0.025
1.56288,25.0,0.1,0.025
1.4636799999999999,25.0,0.5,0.025
1.71464,25.0,1.0,0.025
1.6831538461538462,26.0,0.0,0.025
1.3263076923076924,26.0,0.1,0.025
1.6003846153846153,26.0,0.5,0.025
1.262230769230769,26.0,1.0,0.025
1.6885925925925926,27.0,0.0,0.025
1.441851851851852,27.0,0.1,0.025
1.4703703703703705,27.0,0.5,0.025
1.454074074074074,27.0,1.0,0.025
1.4259285714285714,28.0,0.0,0.025
1.653,28.0,0.1,0.025
1.5748571428571427,28.0,0.5,0.025
1.7105714285714286,28.0,1.0,0.025
1.347448275862069,29.0,0.0,0.025
1.6288965517241378,29.0,0.1,0.025
1.5851034482758621,29.0,0.5,0.025
1.5325517241379312,29.0,1.0,0.025
1.4862,30.0,0.0,0.025
1.4387333333333332,30.0,0.1,0.025
