gamma,l,rho
0.0,9.0,0.0
2.0,9.0,0.1
2.0,10.0,0.2
2.0,10.0,0.3
4.0,10.0,0.4
2.0,9.0,0.5
6.0,10.0,0.6
2.0,9.0,0.7
4.0,10.0,0.8
2.0,9.0,0.9
12.0,9.0,1.0
0.0,8.0,0.0
2.0,9.0,0.1
16.0,10.0,0.2
4.0,10.0,0.3
0.0,10.0,0.4
2.0,10.0,0.5
2.0,8.0,0.6
10.0,9.0,0.7
12.0,6.0,0.8
0.0,8.0,0.9
10.0,6.0,1.0
0.0,8.0,0.0
0.0,8.0,0.1
2.0,8.0,0.2
2.0,10.0,0.3
2.0,10.0,0.4
14.0,7.0,0.5
8.0,12.0,0.6
4.0,10.0,0.7
14.0,10.0,0.8
14.0,9.0,0.9
8.0,7.0,1.0
0.0,8.0,0.0
2.0,9.0,0.1
0.0,9.0,0.2
0.0,10.0,0.3
0.0,9.0,0.4
4.0,10.0,0.5
4.0,9.0,0.6
12.0,8.0,0.7
2.0,9.0,0.8
14.0,8.0,0.9
12.0,8.0,1.0
0.0,8.0,0.0
0.0,8.0,0.1
0.0,9.0,0.2
2.0,10.0,0.3
12.0,8.0,0.4
10.0,10.0,0.5
2.0,10.0,0.6
16.0,9.0,0.7
12.0,6.0,0.8
6.0,11.0,0.9
8.0,8.0,1.0
0.0,9.0,0.0
0.0,9.0,0.1
4.0,10.0,0.2
2.0,11.0,0.3
0.0,10.0,0.4
2.0,10.0,0.5
4.0,11.0,0.6
4.0,10.0,0.7
12.0,8.0,0.8
14.0,10.0,0.9
12.0,6.0,1.0
0.0,9.0,0.0
0.0,9.0,0.1
2.0,9.0,0.2
14.0,7.0,0.3
0.0,9.0,0.4
2.0,10.0,0.5
8.0,6.0,0.6
4.0,9.0,0.7
4.0,10.0,0.8
4.0,12.0,0.9
10.0,9.0,1.0
0.0,8.0,0.0
0.0,8.0,0.1
0.0,8.0,0.2
0.0,9.0,0.3
6.0,8.0,0.4
2.0,9.0,0.5
6.0,9.0,0.6
8.0,7.0,0.7
14.0,9.0,0.8
4.0,9.0,0.9
4.0,10.0,1.0
0.0,8.0,0.0
0.0,9.0,0.1
2.0,8.0,0.2
2.0,10.0,0.3
16.0,8.0,0.4
0.0,8.0,0.5
2.0,9.0,0.6
8.0,8.0,0.7
14.0,8.0,0.8
14.0,10.0,0.9
2.0,9.0,1.0
0.0,8.0,0.0
2.0,9.0,0.1
2.0,9.0,0.2
8.0,10.0,0.3
4.0,10.0,0.4
12.0,7.0,0.5
0.0,8.0,0.6
2.0,6.0,0.7
14.0,10.0,0.8
12.0,8.0,0.9
16.0,11.0,1.0
0.0,8.0,0.0
0.0,8.0,0.1
2.0,10.0,0.2
2.0,10.0,0.3
2.0,10.0,0.4
2.0,9.0,0.5
14.0,8.0,0.6
4.0,11.0,0.7
0.0,10.0,0.8
14.0,9.0,0.9
18.0,10.0,1.0
0.0,8.0,0.0
0.0,8.0,0.1
2.0,10.0,0.2
4.0,11.0,0.3
10.0,8.0,0.4
10.0,6.0,0.5
10.0,7.0,0.6
2.0,10.0,0.7
12.0,8.0,0.8
2.0,9.0,0.9
10.0,6.0,1.0
0.0,8.0,0.0
0.0,9.0,0.1
0.0,8.0,0.2
4.0,9.0,0.3
4.0,10.0,0.4
16.0,9.0,0.5
4.0,10.0,0.6
4.0,10.0,0.7
4.0,9.0,0.8
0.0,8.0,0.9
8.0,7.0,1.0
0.0,8.0,0.0
0.0,8.0,0.1
2.0,9.0,0.2
4.0,10.0,0.3
2.0,11.0,0.4
2.0,9.0,0.5
0.0,8.0,0.6
12.0,8.0,0.7
2.0,10.0,0.8
12.0,7.0,0.9
12.0,7.0,1.0
