gamma,l,kappa
0.27142857142857146,70.0,0.0
0.3,70.0,2.0
0.37142857142857144,70.0,4.0
0.35714285714285715,70.0,6.0
0.38571428571428573,70.0,8.0
0.34285714285714286,70.0,10.0
0.35714285714285715,70.0,12.0
0.35714285714285715,70.0,14.0
0.37142857142857144,70.0,16.0
0.34285714285714286,70.0,18.0
0.4,70.0,20.0
0.3125,80.0,0.0
0.3875,80.0,2.0
0.4,80.0,4.0
0.3625,80.0,6.0
0.3875,80.0,8.0
0.4,80.0,10.0
0.4,80.0,12.0
0.4125,80.0,14.0
0.375,80.0,16.0
0.425,80.0,18.0
0.45,80.0,20.0
0.37777777777777777,90.0,0.0
0.3888888888888889,90.0,2.0
0.4111111111111111,90.0,4.0
0.4222222222222222,90.0,6.0
0.4444444444444445,90.0,8.0
0.4,90.0,10.0
0.4222222222222222,90.0,12.0
0.4444444444444445,90.0,14.0
0.4222222222222222,90.0,16.0
0.4333333333333333,90.0,18.0
0.4666666666666667,90.0,20.0
0.41,100.0,0.0
0.43,100.0,2.0
0.48,100.0,4.0
0.43,100.0,6.0
0.45999999999999996,100.0,8.0
0.47000000000000003,100.0,10.0
0.48,100.0,12.0
0.47000000000000003,100.0,14.0
0.45,100.0,16.0
0.47000000000000003,100.0,18.0
0.45999999999999996,100.0,20.0
0.4545454545454546,110.0,0.0
0.4636363636363637,110.0,2.0
0.44545454545454544,110.0,4.0
0.4818181818181818,110.0,6.0
0.4818181818181818,110.0,8.0
0.4909090909090909,110.0,10.0
0.5272727272727272,110.0,12.0
0.5181818181818182,110.0,14.0
0.4727272727272728,110.0,16.0
0.4727272727272728,110.0,18.0
0.509090909090909,110.0,20.0
0.475,120.0,0.0
0.4833333333333333,120.0,2.0
0.4916666666666667,120.0,4.0
0.4916666666666667,120.0,6.0
0.5,120.0,8.0
0.5,120.0,10.0
0.5,120.0,12.0
0.525,120.0,14.0
0.5333333333333333,120.0,16.0
0.5166666666666667,120.0,18.0
0.5,120.0,20.0
0.4769230769230769,130.0,0.0
0.4769230769230769,130.0,2.0
0.5,130.0,4.0
0.5307692307692308,130.0,6.0
0.5153846153846154,130.0,8.0
0.5384615384615385,130.0,10.0
0.5307692307692308,130.0,12.0
0.5307692307692308,130.0,14.0
0.5230769230769231,130.0,16.0
0.5384615384615385,130.0,18.0
0.5384615384615385,130.0,20.0
0.4928571428571429,140.0,0.0
0.4928571428571429,140.0,2.0
0.5142857142857143,140.0,4.0
0.5285714285714286,140.0,6.0
0.5571428571428572,140.0,8.0
0.5428571428571429,140.0,10.0
0.5428571428571429,140.0,12.0
0.5285714285714286,140.0,14.0
0.5142857142857143,140.0,16.0
0.55,140.0,18.0
0.5571428571428572,140.0,20.0
0.5133333333333334,150.0,0.0
0.5333333333333333,150.0,2.0
0.54,150.0,4.0
0.5333333333333333,150.0,6.0
0.5466666666666666,150.0,8.0
0.5466666666666666,150.0,10.0
0.5599999999999999,150.0,12.0
0.5666666666666667,150.0,14.0
0.5533333333333333,150.0,16.0
0.5599999999999999,150.0,18.0
0.5666666666666667,150.0,20.0
