p_l,l,kappa
0.01458534,61.0,0.0
0.01945334,62.0,0.0
0.01297092,63.0,0.0
0.04325382,64.0,0.0
0.1014278,65.0,0.0
0.06896262,66.0,0.0
0.07027796,67.0,0.0
0.04172928,68.0,0.0
0.04999806,69.0,0.0
0.01664506,70.0,0.0
0.01093074,71.0,0.0
0.0403385,72.0,0.0
0.03211468,73.0,0.0
0.01200098,74.0,0.0
0.02318814,75.0,0.0
0.0135569,76.0,0.0
0.03811402,77.0,0.0
0.02287664,78.0,0.0
0.02835008,79.0,0.0
0.01713514,80.0,0.0
0.01844722,81.0,0.0
0.0091286,82.0,0.0
0.0011501,83.0,0.0
0.00064466,84.0,0.0
0.00036732,85.0,0.0
0.01972478,86.0,0.0
0.0080971,87.0,0.0
0.01245116,88.0,0.0
0.00435514,89.0,0.0
0.00621726,90.0,0.0
0.0016285,91.0,0.0
0.01081208,92.0,0.0
0.00936152,93.0,0.0
0.00697712,94.0,0.0
0.00584116,95.0,0.0
0.00436254,96.0,0.0
0.00298222,97.0,0.0
0.00062998,98.0,0.0
0.00212272,99.0,0.0
0.01089058,100.0,0.0
0.00354034,101.0,0.0
0.00173112,102.0,0.0
0.001924,103.0,0.0
0.0062353,104.0,0.0
0.0025032,105.0,0.0
0.0027985,106.0,0.0
0.00180588,107.0,0.0
0.00045614,108.0,0.0
0.00148144,109.0,0.0
0.0032138,110.0,0.0
0.00085126,111.0,0.0
0.00088644,112.0,0.0
0.00828232,113.0,0.0
0.01534574,114.0,0.0
0.01852332,115.0,0.0
0.0288429,116.0,0.0
0.00989334,117.0,0.0
0.0056412,118.0,0.0
0.00169114,119.0,0.0
0.01023156,120.0,0.0
0.00388382,121.0,0.0
0.00696046,122.0,0.0
0.00366572,123.0,0.0
0.0014652,124.0,0.0
0.00199182,125.0,0.0
0.00325462,126.0,0.0
0.008449,127.0,0.0
0.01206376,128.0,0.0
0.01098008,129.0,0.0
0.0073048,130.0,0.0
0.00744981,110.0,1.0
0.02630905,111.0,1.0
0.01176641,112.0,1.0
0.01954956,113.0,1.0
0.01924317,114.0,1.0
0.02735773,115.0,1.0
0.05808252,116.0,1.0
0.04163023,117.0,1.0
0.03565782,118.0,1.0
0.0369291,119.0,1.0
0.04323679,120.0,1.0
0.0414269,121.0,1.0
0.08489477,122.0,1.0
0.1073553,123.0,1.0
0.08479446,124.0,1.0
0.09343648,125.0,1.0
0.07314183,126.0,1.0
0.06651308,127.0,1.0
0.01264059,128.0,1.0
0.02010371,129.0,1.0
0.01142192,130.0,1.0
0.02179077,131.0,1.0
0.02020207,132.0,1.0
0.01615393,133.0,1.0
0.00896265,134.0,1.0
0.00751168,135.0,1.0
0.00243767,136.0,1.0
0.0010912933333333333,96.0,2.0
0.00655354,97.0,2.0
0.012515206666666667,98.0,2.0
0.005358466666666666,99.0,2.0
0.005050473333333333,100.0,2.0
0.00868426,101.0,2.0
0.018820513333333334,102.0,2.0
0.022470553333333334,103.0,2.0
0.048317933333333334,104.0,2.0
0.043926653333333336,105.0,2.0
0.07586578,106.0,2.0
0.04145558666666667,107.0,2.0
0.03860619333333333,108.0,2.0
0.026811013333333335,109.0,2.0
0.039818033333333336,110.0,2.0
0.03739148666666667,111.0,2.0
0.01580618,112.0,2.0
0.0248095,113.0,2.0
0.018115113333333332,114.0,2.0
0.03162846666666667,115.0,2.0
0.011740466666666666,116.0,2.0
0.0180777,117.0,2.0
0.020016293333333334,118.0,2.0
0.03553969333333333,119.0,2.0
0.03899417333333333,120.0,2.0
0.03160275333333333,121.0,2.0
0.03900762,122.0,2.0
0.06075416,123.0,2.0
0.049381966666666666,124.0,2.0
0.0334471,125.0,2.0
0.026658706666666667,126.0,2.0
0.020270213333333332,127.0,2.0
0.015762513333333332,128.0,2.0
0.017064626666666666,129.0,2.0
0.01800358666666667,130.0,2.0
0.016710246666666668,131.0,2.0
0.01845902,132.0,2.0
0.005174693333333333,133.0,2.0
0.00023822,134.0,2.0
0.003671425,82.0,3.0
0.012912345,83.0,3.0
0.028767175,84.0,3.0
0.03040576,85.0,3.0
0.04012173,86.0,3.0
0.039124625,87.0,3.0
0.030542335,88.0,3.0
0.0241812,89.0,3.0
0.017949075,90.0,3.0
0.022128905,91.0,3.0
0.01533784,92.0,3.0
0.014774065,93.0,3.0
0.03021189,94.0,3.0
0.035087155,95.0,3.0
0.022624395,96.0,3.0
0.008710105,97.0,3.0
0.0081925,98.0,3.0
0.010061035,99.0,3.0
0.009547085,100.0,3.0
0.00921244,101.0,3.0
0.024296565,102.0,3.0
0.038491655,103.0,3.0
0.018643405,104.0,3.0
0.015240405,105.0,3.0
0.01771902,106.0,3.0
0.01562741,107.0,3.0
0.010753375,108.0,3.0
0.01591915,109.0,3.0
0.01827117,110.0,3.0
0.028379605,111.0,3.0
0.021935315,112.0,3.0
0.011566055,113.0,3.0
0.01910604,114.0,3.0
0.010008665,115.0,3.0
0.01268849,116.0,3.0
0.01117652,117.0,3.0
0.008108005,118.0,3.0
0.01104455,119.0,3.0
0.021193795,120.0,3.0
0.0213085,121.0,3.0
0.00747336,122.0,3.0
0.00280948,123.0,3.0
0.01652305,124.0,3.0
0.02875182,125.0,3.0
0.02285921,126.0,3.0
0.01102211,127.0,3.0
0.010808985,128.0,3.0
0.02601828,129.0,3.0
0.014310895,130.0,3.0
0.01980759,131.0,3.0
0.0116296,132.0,3.0
0.009267085,133.0,3.0
0.015293735,134.0,3.0
0.0136995,135.0,3.0
0.0073209,136.0,3.0
0.00930591,137.0,3.0
0.00805771,138.0,3.0
0.002299532,98.0,4.0
0.006084824,99.0,4.0
0.013961452,100.0,4.0
0.003309236,101.0,4.0
0.013626732,102.0,4.0
0.009898696,103.0,4.0
0.0108006,104.0,4.0
0.014166988,105.0,4.0
0.006642572,106.0,4.0
0.02245162,107.0,4.0
0.017257348,108.0,4.0
0.0137834,109.0,4.0
0.022089284,110.0,4.0
0.02485576,111.0,4.0
0.02245842,112.0,4.0
0.017546612,113.0,4.0
0.016853172,114.0,4.0
0.008432144,115.0,4.0
0.009594592,116.0,4.0
0.013673864,117.0,4.0
0.012760676,118.0,4.0
0.01392564,119.0,4.0
0.030732804,120.0,4.0
0.034657864,121.0,4.0
0.031700928,122.0,4.0
0.036004336,123.0,4.0
0.062227812,124.0,4.0
0.0393893,125.0,4.0
0.046438736,126.0,4.0
0.064228936,127.0,4.0
0.066171128,128.0,4.0
0.034648008,129.0,4.0
0.02495314,130.0,4.0
0.018622296,131.0,4.0
0.026981312,132.0,4.0
0.03670282,133.0,4.0
0.031081664,134.0,4.0
0.029814872,135.0,4.0
0.027235784,136.0,4.0
0.010360532,137.0,4.0
0.002803064,138.0,4.0
0.011099448,139.0,4.0
0.025178324,140.0,4.0
0.009329052,141.0,4.0
0.003164676,142.0,4.0
0.0006663266666666667,122.0,5.0
0.006376273333333333,123.0,5.0
0.006532056666666667,124.0,5.0
0.00296618,125.0,5.0
0.005141543333333333,126.0,5.0
0.00457487,127.0,5.0
0.014871636666666667,128.0,5.0
0.009932073333333333,129.0,5.0
0.00297313,130.0,5.0
0.006000526666666666,131.0,5.0
0.0016802933333333334,132.0,5.0
0.00885023,133.0,5.0
0.015812153333333332,134.0,5.0
0.017386116666666666,135.0,5.0
0.03896794333333333,136.0,5.0
0.05877857,137.0,5.0
0.04081234,138.0,5.0
0.029072416666666667,139.0,5.0
0.03995881,140.0,5.0
0.05642576,141.0,5.0
0.06413563,142.0,5.0
0.046769653333333334,143.0,5.0
0.05640159333333333,144.0,5.0
0.054829616666666664,145.0,5.0
0.03788335,146.0,5.0
0.036882316666666665,147.0,5.0
0.034897576666666666,148.0,5.0
0.04887826666666667,149.0,5.0
0.03221912666666667,150.0,5.0
0.029198326666666666,151.0,5.0
0.01115776,152.0,5.0
0.008071366666666666,153.0,5.0
0.00651624,154.0,5.0
0.014743116666666667,155.0,5.0
0.011540066666666666,156.0,5.0
0.0019385166666666667,157.0,5.0
