gamma,l,rho,f0
1.198,5.0,0.0,0.01
1.1772,5.0,0.1,0.01
1.4204,5.0,0.5,0.01
1.3852,5.0,1.0,0.01
1.6263333333333332,6.0,0.0,0.01
1.5683333333333334,6.0,0.1,0.01
1.6463333333333334,6.0,0.5,0.01
1.507,6.0,1.0,0.01
1.732,7.0,0.0,0.01
1.3011428571428572,7.0,0.1,0.01
1.9440000000000002,7.0,0.5,0.01
1.5957142857142856,7.0,1.0,0.01
0.07825,8.0,0.0,0.01
1.29075,8.0,0.1,0.01
1.457,8.0,0.5,0.01
1.23475,8.0,1.0,0.01
0.28444444444444444,9.0,0.0,0.01
0.8775555555555555,9.0,0.1,0.01
0.162,9.0,0.5,0.01
1.7364444444444445,9.0,1.0,0.01
0.3752,10.0,0.0,0.01
0.303,10.0,0.1,0.01
1.1747999999999998,10.0,0.5,0.01
1.6826,10.0,1.0,0.01
0.40090909090909094,11.0,0.0,0.01
0.4227272727272728,11.0,0.1,0.01
0.6114545454545455,11.0,0.5,0.01
1.745818181818182,11.0,1.0,0.01
0.566,12.0,0.0,0.01
0.5298333333333333,12.0,0.1,0.01
0.9063333333333333,12.0,0.5,0.01
1.6661666666666666,12.0,1.0,0.01
0.4592307692307692,13.0,0.0,0.01
0.6196923076923077,13.0,0.1,0.01
1.6626153846153846,13.0,0.5,0.01
1.3812307692307693,13.0,1.0,0.01
0.3791428571428571,14.0,0.0,0.01
0.9295714285714285,14.0,0.1,0.01
0.7024285714285714,14.0,0.5,0.01
1.4002857142857141,14.0,1.0,0.01
0.6661333333333334,15.0,0.0,0.01
0.8237333333333333,15.0,0.1,0.01
0.5253333333333333,15.0,0.5,0.01
0.8036,15.0,1.0,0.01
0.60525,16.0,0.0,0.01
0.722,16.0,0.1,0.01
0.754875,16.0,0.5,0.01
1.875,16.0,1.0,0.01
0.7767058823529412,17.0,0.0,0.01
0.7129411764705882,17.0,0.1,0.01
0.7729411764705882,17.0,0.5,0.01
1.4481176470588235,17.0,1.0,0.01
0.781,18.0,0.0,0.01
0.7232222222222222,18.0,0.1,0.01
1.414777777777778,18.0,0.5,0.01
1.4138888888888888,18.0,1.0,0.01
0.8550526315789473,19.0,0.0,0.01
0.6352631578947369,19.0,0.1,0.01
0.8434736842105263,19.0,0.5,0.01
0.8476842105263159,19.0,1.0,0.01
0.8707,20.0,0.0,0.01
0.8962,20.0,0.1,0.01
0.8180999999999999,20.0,0.5,0.01
0.9259000000000001,20.0,1.0,0.01
0.9729523809523809,21.0,0.0,0.01
0.8763809523809524,21.0,0.1,0.01
1.4795238095238095,21.0,0.5,0.01
1.7200952380952381,21.0,1.0,0.01
0.9653636363636363,22.0,0.0,0.01
0.9985454545454545,22.0,0.1,0.01
0.9091818181818181,22.0,0.5,0.01
1.007818181818182,22.0,1.0,0.01
0.8147826086956521,23.0,0.0,0.01
0.8822608695652174,23.0,0.1,0.01
1.5472173913043477,23.0,0.5,0.01
