gamma,l,rho,f0
1.4487999999999999,5.0,0.0,0.01
1.444,5.0,0.1,0.01
1.0872,5.0,0.5,0.01
2.0,5.0,1.0,0.01
1.708,6.0,0.0,0.01
1.6966666666666665,6.0,0.1,0.01
1.4123333333333334,6.0,0.5,0.01
1.8486666666666667,6.0,1.0,0.01
1.906857142857143,7.0,0.0,0.01
1.4965714285714287,7.0,0.1,0.01
1.3994285714285712,7.0,0.5,0.01
1.614857142857143,7.0,1.0,0.01
0.03375,8.0,0.0,0.01
0.01475,8.0,0.1,0.01
1.90675,8.0,0.5,0.01
1.656,8.0,1.0,0.01
0.2182222222222222,9.0,0.0,0.01
0.36333333333333334,9.0,0.1,0.01
1.5831111111111111,9.0,0.5,0.01
1.4044444444444446,9.0,1.0,0.01
0.1092,10.0,0.0,0.01
0.2164,10.0,0.1,0.01
1.3821999999999999,10.0,0.5,0.01
1.5699999999999998,10.0,1.0,0.01
0.3901818181818182,11.0,0.0,0.01
0.41818181818181815,11.0,0.1,0.01
0.6132727272727273,11.0,0.5,0.01
1.9276363636363636,11.0,1.0,0.01
0.5205000000000001,12.0,0.0,0.01
0.3813333333333333,12.0,0.1,0.01
1.8151666666666666,12.0,0.5,0.01
1.6475,12.0,1.0,0.01
0.4890769230769231,13.0,0.0,0.01
0.582,13.0,0.1,0.01
0.5961538461538461,13.0,0.5,0.01
1.2172307692307691,13.0,1.0,0.01
0.47385714285714287,14.0,0.0,0.01
0.5755714285714285,14.0,0.1,0.01
0.6715714285714285,14.0,0.5,0.01
1.544,14.0,1.0,0.01
0.41226666666666667,15.0,0.0,0.01
0.7845333333333334,15.0,0.1,0.01
1.3298666666666668,15.0,0.5,0.01
1.3242666666666667,15.0,1.0,0.01
0.76175,16.0,0.0,0.01
0.77925,16.0,0.1,0.01
0.83475,16.0,0.5,0.01
1.708625,16.0,1.0,0.01
0.8283529411764706,17.0,0.0,0.01
0.8294117647058823,17.0,0.1,0.01
0.8375294117647059,17.0,0.5,0.01
1.1288235294117648,17.0,1.0,0.01
0.6925555555555555,18.0,0.0,0.01
0.7878888888888889,18.0,0.1,0.01
0.8240000000000001,18.0,0.5,0.01
1.7321111111111112,18.0,1.0,0.01
0.7814736842105263,19.0,0.0,0.01
0.7885263157894736,19.0,0.1,0.01
0.7625263157894736,19.0,0.5,0.01
1.562421052631579,19.0,1.0,0.01
0.7392000000000001,20.0,0.0,0.01
0.6665,20.0,0.1,0.01
0.9170999999999999,20.0,0.5,0.01
0.8108000000000001,20.0,1.0,0.01
0.9545714285714285,21.0,0.0,0.01
0.9719047619047619,21.0,0.1,0.01
0.8072380952380953,21.0,0.5,0.01
1.5083809523809524,21.0,1.0,0.01
0.9026363636363637,22.0,0.0,0.01
0.8998181818181817,22.0,0.1,0.01
1.1856363636363636,22.0,0.5,0.01
0.9406363636363636,22.0,1.0,0.01
0.8804347826086957,23.0,0.0,0.01
0.9732173913043478,23.0,0.1,0.01
0.9648695652173913,23.0,0.5,0.01
1.0192173913043479,23.0,1.0,0.01
0.9261666666666667,24.0,0.0,0.01
1.0019166666666666,24.0,0.1,0.01
0.9809166666666668,24.0,0.5,0.01
