rho,l,gamma
0.0,5.0,0.25062800000000013
0.0,6.0,0.2379366666666666
0.0,7.0,0.19561142857142863
0.0,8.0,0.169825
0.0,9.0,0.1686199999999999
0.0,10.0,0.13629800000000006
0.0,11.0,0.13911636363636368
0.0,12.0,0.12836166666666668
0.0,13.0,0.13472923076923077
0.0,14.0,0.4704800000000002
0.0,15.0,0.903773333333333
0.0,16.0,1.26187625
0.0,17.0,1.421784705882353
0.0,18.0,1.482792222222222
0.0,19.0,1.4964126315789474
0.0,20.0,1.4849519999999992
0.0,21.0,1.4900942857142865
0.0,22.0,1.4788972727272722
0.0,23.0,1.4846852173913043
0.0,24.0,1.5152225
0.0,25.0,1.5028792000000002
0.0,26.0,1.5051630769230764
0.0,27.0,1.4847970370370374
0.0,28.0,1.4826621428571432
0.0,29.0,1.5067144827586207
0.0,30.0,1.4800686666666665
5.0e-6,5.0,0.24213200000000004
5.0e-6,6.0,0.21905333333333332
5.0e-6,7.0,0.2176685714285715
5.0e-6,8.0,0.18498750000000008
5.0e-6,9.0,0.1514244444444444
5.0e-6,10.0,0.15009399999999995
5.0e-6,11.0,0.1496436363636364
5.0e-6,12.0,0.12925499999999993
5.0e-6,13.0,0.18461692307692307
5.0e-6,14.0,0.5080657142857142
5.0e-6,15.0,0.9472879999999999
5.0e-6,16.0,1.1029512499999998
5.0e-6,17.0,1.486975294117646
5.0e-6,18.0,1.4883899999999994
5.0e-6,19.0,1.4735821052631577
5.0e-6,20.0,1.4911020000000008
5.0e-6,21.0,1.5088761904761905
5.0e-6,22.0,1.4768700000000008
5.0e-6,23.0,1.4896495652173918
5.0e-6,24.0,1.5352966666666665
5.0e-6,25.0,1.4927887999999998
5.0e-6,26.0,1.4839730769230774
5.0e-6,27.0,1.478592592592593
5.0e-6,28.0,1.5043064285714274
5.0e-6,29.0,1.5007682758620686
5.0e-6,30.0,1.495674
1.0e-5,5.0,0.27124799999999993
1.0e-5,6.0,0.2132833333333332
1.0e-5,7.0,0.20317142857142856
1.0e-5,8.0,0.19084
1.0e-5,9.0,0.16294444444444448
1.0e-5,10.0,0.13806000000000002
1.0e-5,11.0,0.1513381818181817
1.0e-5,12.0,0.13777166666666663
1.0e-5,13.0,0.19841076923076925
1.0e-5,14.0,0.4131200000000001
1.0e-5,15.0,0.9773986666666669
1.0e-5,16.0,1.2839900000000002
1.0e-5,17.0,1.4614941176470588
1.0e-5,18.0,1.4906233333333336
1.0e-5,19.0,1.4687452631578943
1.0e-5,20.0,1.520351
1.0e-5,21.0,1.4925628571428575
1.0e-5,22.0,1.4798781818181816
1.0e-5,23.0,1.511327826086956
1.0e-5,24.0,1.5037083333333334
1.0e-5,25.0,1.4994488000000001
1.0e-5,26.0,1.4965161538461542
1.0e-5,27.0,1.5077518518518516
1.0e-5,28.0,1.478312142857143
1.0e-5,29.0,1.5141875862068956
1.0e-5,30.0,1.5295919999999998
5.0e-5,5.0,0.28257199999999993
5.0e-5,6.0,0.26112
